不用	0
坐牢	1
你这个	2
挽尊	3
手法	4
只会	5
越描越黑	6
洗了	7
离职	8
人才	9
新闻	10
讽刺	11
人模狗样	12
姿色	13
都要	14
努力	15
娱乐圈	16
发展	17
举手	18
下辈子	19
花不完	20
逃税	21
罪	22
本来就是	23
拒不	24
缴纳	25
拜托	26
学	27
法律知识	28
这才是	29
至善至美	30
之人	31
刑责	32
责任人	33
谅解	34
手下人	35
负	36
身边	37
老师	38
都是	39
兢兢业业	40
累死累活	41
赚点	42
工资	43
不懂	44
你说的	45
灰色收入	46
话	47
乱说	48
凉凉	49
演	50
武则天	51
倒霉	52
苍天	53
饶	54
过谁	55
第一次	56
普天同庆	57
明星	58
的钱	59
仿佛	60
次元	61
强烈要求	62
禁止	63
她再	64
进	65
更多	66
害怕	67
漏税	68
这一场	69
闹剧	70
归到	71
一个女人	72
身上	73
快看	74
刘晓庆	75
是因为	76
补不上	77
范爷	78
就跟	79
偷税	80
两个	81
多亿	82
八亿	83
罚款	84
就怕	85
中国人	86
忘性	87
大啊	88
污点	89
陪伴	90
一辈子	91
这下	92
罚	93
惨了	94
天文数字	95
还好	96
点钱	97
个税	98
月	99
8w	100
交	101
45%	102
高收入	103
一半	104
需	105
上交国家	106
赚钱	107
是可以的	108
招摇	109
罚钱	110
还得	111
ji	112
关	113
牢房	114
捡肥皂	115
8.83	116
亿	117
毛主席	118
教导	119
世界上	120
最怕	121
二字	122
天呐	123
有钱	124
封杀	125
一个男孩	126
对你	127
做	128
你要	129
黑	130
善良	131
说	132
冰冰	133
阴阳	134
合同	135
的人	136
懂你	137
巴不得	138
法律	139
补交	140
齐了	141
这是	142
刑法	143
首次	144
偷逃	145
接受	146
补缴	147
免于	148
刑罚	149
示范	150
效应	151
没关系	152
第二次	153
刘阿姨	154
不动产	155
打包	156
低价	157
拍卖	158
倒贴钱	159
数学	160
不好	161
一共	162
得交	163
多少钱	164
光明磊落	165
做人	166
把该	167
税	168
交了	169
心疼	170
真好	171
花	172
掉	173
赚	174
不到	175
说我	176
豪门	177
主要是	178
她太	179
高调	180
这么多	181
都查	182
一遍	183
看看有没有	184
偷税漏税	185
国家	186
缺钱	187
蛋糕	188
动动	189
企业	190
经不起	191
严惩	192
普通老百姓	193
拿着	194
很低	195
都在	196
缴税	197
公众人物	198
挣着	199
大笔	200
不顾	201
可恨	202
可耻	203
劝你	204
有撒用	205
她还是	206
用不完	207
花钱买	208
平安	209
找了	210
经济人	211
替死鬼	212
法制	213
咖就	214
退出	215
你瞧	216
这么大	217
事	218
热	219
搜	220
fbb	221
hjb	222
生	223
服了	224
有没有	225
点	226
素质	227
那么多	228
九个	229
没听到	230
四倍	231
三倍	232
她真	233
亿多	234
宽容	235
天	236
一辈子都	237
怎么不	238
给力	239
大轰炸	240
主演	241
片酬	242
3000	243
研究	244
飞机	245
潜艇	246
都去	247
演戏	248
演员	249
只是一个	250
职业	251
变味	252
愿	253
担负起	254
挣	255
这么多钱	256
应负	257
责任	258
义务	259
起到	260
社会	261
带头作用	262
希望	263
这股	264
风吹	265
狠	266
一点	267
时间	268
久一点	269
怕你	270
家里	271
不通	272
网	273
逃	274
上亿	275
强	276
🏻	277
厉害	278
实在	279
你以为	280
科技人才	281
少	282
教师	283
有几个	284
国家税务总局	285
一句	286
重点	287
法不责众	288
人太多了	289
查	290
看了	291
评论	292
不知	293
联想	294
悲伤	295
逆流成河	296
数学题	297
真的	298
一抓	299
